# m=45 n=12 k=6 j=4 s=4 minCover=1 run=12 count=41
4,5,9,12,20,21
4,5,9,22,30,31
4,5,9,36,41,44
4,5,12,20,22,36
4,5,12,20,30,41
4,5,12,20,31,44
4,5,21,22,30,44
4,5,21,22,31,41
4,5,21,30,31,36
4,9,12,21,22,36
4,9,12,21,30,41
4,9,12,21,31,44
4,9,20,22,30,44
4,9,20,22,31,41
4,9,20,30,31,36
4,12,22,30,36,41
4,12,22,31,36,44
4,12,30,31,41,44
4,20,21,22,41,44
4,20,21,30,36,44
4,20,21,31,36,41
5,9,12,22,41,44
5,9,12,30,36,44
5,9,12,31,36,41
5,9,20,21,22,36
5,9,20,21,30,41
5,9,20,21,31,44
5,12,21,22,30,31
5,12,21,36,41,44
5,20,22,30,36,41
5,20,22,31,36,44
5,20,30,31,41,44
9,12,20,22,30,31
9,12,20,36,41,44
9,21,22,30,36,41
9,21,22,31,36,44
9,21,30,31,41,44
12,20,21,22,30,44
12,20,21,22,31,41
12,20,21,30,31,36
22,30,31,36,41,44
