# m=45 n=12 k=6 j=4 s=4 minCover=1 run=1 count=50
7,8,9,15,29,33
7,8,9,17,18,31
7,8,9,20,30,31
7,8,9,24,29,31
7,8,15,17,30,31
7,8,15,18,20,24
7,8,17,20,29,31
7,8,17,24,30,33
7,8,18,20,31,33
7,8,18,29,30,31
7,9,15,17,18,24
7,9,15,17,31,33
7,9,15,20,24,33
7,9,15,24,29,30
7,9,17,18,20,30
7,9,17,20,24,29
7,9,18,20,24,33
7,9,18,24,29,30
7,9,24,29,30,33
7,15,17,18,29,31
7,15,17,18,30,33
7,15,17,20,29,30
7,15,20,24,30,31
7,17,18,20,29,33
7,17,18,24,31,33
7,20,29,30,31,33
8,9,15,17,20,30
8,9,15,17,29,31
8,9,15,18,24,31
8,9,15,20,29,30
8,9,17,18,29,33
8,9,17,20,24,31
8,9,18,20,30,33
8,9,24,30,31,33
8,15,17,18,20,24
8,15,17,20,31,33
8,15,18,20,24,29
8,15,18,24,30,33
8,17,18,24,29,30
8,18,24,29,31,33
8,20,24,29,30,33
9,15,18,20,29,31
9,15,18,30,31,33
9,17,20,24,30,33
9,17,29,30,31,33
9,20,24,29,31,33
15,17,24,29,30,31
15,17,24,29,31,33
15,18,20,29,30,33
17,18,20,24,30,31
